State,Population
CO,5782171
CA,39576757
MI,10084442
OR,4241500
TX,29183290
PA,13011844
WA,7715946
MA,7033469
IN,6790280
WI,5897473
NC,10453948
IL,12822739
VA,8654542
NY,20215751
OH,11808848
FL,21570527
MN,5709752
AZ,7158923
VT,643503
MT,1085407
ME,1363582
MO,6160281
CT,3608298
AK,736081
MD,6185278
GA,10725274
OK,3963516
IA,3192406
NE,1963333
ID,1841377
LA,4661468
RI,1098163
NM,2120220
HI,1460137
UT,3275252
WY,577719
SC,5124712
KY,4509342
AL,5030053
TN,6916897
NJ,9294493
NH,1379089
KS,2940865
DE,990837
NV,3108462
AR,3013756
MS,2963914
ND,779702
DC,712816
SD,887770
WV,1795045
